T,nH,SFR,old,values
8.947000000000001,2.85,-2.798,11.799000000000001,-16.21151345143916
5.89,-4.276,2.92,10.127,-29.17072839832214
4.033,-7.225,-1.652,10.585999999999999,-36.366107556840184
5.351,-1.382,-1.3330000000000002,11.663,-24.086466940901214
2.556,1.7,-2.865,11.209000000000001,-20.678256621795768
3.988,-3.4810000000000003,-3.7430000000000003,6.231,-30.1833080632789
7.553,1.4569999999999999,1.208,7.978,-19.734380416846115
4.968,-4.875,-2.5540000000000003,7.222,-31.89701776948174
6.898,-1.358,-4.352,11.275,-25.23011334142871
4.848,0.436,0.727,9.554,-20.6832750158095
2.53,-4.5169999999999995,-4.904,6.667999999999999,-32.56738341609621
2.296,1.9609999999999999,0.6579999999999999,10.198,-20.14856429961119
5.745,-0.355,-2.533,6.122000000000001,-22.453963485721644
4.9510000000000005,-3.258,0.473,7.1979999999999995,-29.66851196723947
7.166,-2.786,-3.737,7.602,-28.183725549022974
2.0980000000000003,-2.8,-4.302,7.529,-29.502779997285515
6.999,-3.1489999999999996,-4.405,6.9110000000000005,-28.869634062734793
2.614,-1.7890000000000001,0.915,10.392999999999999,-27.16493754899177
4.459,-2.274,1.138,8.469,-28.03582054013606
3.6010000000000004,-1.3130000000000002,1.821,6.593,-25.788372276831378
5.432,2.569,-3.553,6.419,-16.170779877124634
8.767000000000001,3.9210000000000003,0.132,6.472,-14.209271617273956
6.572,0.87,-0.45,9.005,-20.726882931513263
2.472,-5.119,-0.34,10.69,-35.212079261445936
2.1830000000000003,-7.681,-4.934,9.961,-39.271281077097136
7.726,3.737,-3.95,8.192,-15.117412855295813
2.9139999999999997,-6.84,-4.652,9.383,-37.804321700542495
5.631,-0.634,-4.486000000000001,10.694,-22.968995718636464
4.209,-2.387,-0.46399999999999997,6.69,-27.910059581501365
4.706,0.706,-2.319,9.621,-20.28313727006063
6.184,-5.401,-3.7969999999999997,8.644,-32.85864430779611
8.549,0.42100000000000004,2.6260000000000003,9.63,-21.281789045268127
3.608,-2.207,-0.861,8.837,-27.68489070435525
5.6129999999999995,-6.742000000000001,-2.765,7.803,-36.09209442681358
6.206,-2.968,2.957,9.683,-27.493968755746746
